repository;file;methodname;anonymous test;long test;conditional test logic;rotten green test;assertion roulette;eager test;lazy test
alibaba/arthas;VmToolTest;testIsSnapshot;1;19;1;1;0/0;0;0
alibaba/arthas;VmToolTest;testGetInstancesMemoryLeak;1;11;2;1;0/0;0;0
alibaba/arthas;VmToolTest;testSumInstancesMemoryLeak;1;8;2;1;0/0;0;0
alibaba/arthas;VmToolTest;testCountInstancesMemoryLeak;1;8;2;1;0/0;0;0
alibaba/arthas;VmToolTest;testGetAllLoadedClassesMemoryLeak;1;9;2;1;0/0;0;0
alibaba/arthas;VmToolTest;test_getInstances_lmiit;1;10;2;0;1/3;0;0
alibaba/arthas;VmToolTest;test_getInstances_interface;1;7;0;0;1/3;0;0
alibaba/arthas;CliTokenImplTest;testSupportedPipeCharWithoutRegex;1;7;0;2;1/3;0;1
alibaba/arthas;CliTokenImplTest;testSupportedPipeCharWithRegex;1;7;0;2;1/3;0;1
alibaba/arthas;CliTokenImplTest;testUnSupportedPipeChar;1;9;0;2;1/3;0;1
alibaba/arthas;GrepHandlerTest;test4grep_ABC;2;10;2;2;0/1;0;1
alibaba/arthas;GrepHandlerTest;test4grep_v;2;10;2;2;0/1;0;1
alibaba/arthas;GrepHandlerTest;test4grep_e;2;8;2;2;0/1;0;1
alibaba/arthas;GrepHandlerTest;test4grep_m;2;9;2;2;0/1;0;1
alibaba/arthas;GrepHandlerTest;test4grep_n;2;9;2;2;0/1;0;1
alibaba/arthas;HttpUtilsTest;test1;2;4;0;0;0/1;0;1
alibaba/arthas;HttpUtilsTest;test2;2;4;0;0;0/1;0;1
alibaba/arthas;HttpUtilsTest;test3;2;4;0;0;0/1;0;1
alibaba/arthas;WildcardMatcherTest;testMatching;0;16;0;0;1/16;0;0
alibaba/arthas;RegexMatcherTest;testMatchingWithNullInputs;1;4;0;0;1/4;0;1
alibaba/arthas;RegexMatcherTest;testMatchingWithRegularGrammar;1;18;0;0;1/18;0;1
alibaba/arthas;RegexMatcherTest;testMatchingComplexRegex;1;10;0;0;1/8;0;1
alibaba/arthas;TrueMatcherTest;testMatching;0;4;0;0;1/4;0;0
alibaba/arthas;FalseMatcherTest;testMatching;0;4;0;0;1/4;0;0
alibaba/arthas;EqualsMatcherTest;testMatching;0;5;0;0;1/5;0;0
alibaba/arthas;GrepCommandTest;test;2;8;1;0;0/1;0;0
alibaba/arthas;GrepCommandTest;test2;2;8;1;0;0/1;0;0
alibaba/arthas;GrepCommandTest;test3;2;8;1;0;0/1;0;0
alibaba/arthas;URITest;test;2;5;0;0;0/1;0;0
alibaba/arthas;URITest;testEncode;1;5;0;0;0/1;0;0
alibaba/arthas;URITest;test3;2;7;0;0;0/1;0;0
alibaba/arthas;ObjectViewTest;testNull;1;2;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testInteger;1;2;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testChar;1;2;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testString;1;2;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testList;1;6;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testMap;1;6;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testIntArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testLongArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testShortArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testFloatArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testDoubleArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testBooleanArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testCharArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testByteArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testObjectArray;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testThrowable;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testDate;1;4;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testNestedClass;1;3;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testObjectTooLarge;1;3;0;0;0/1;0;1
alibaba/arthas;ObjectViewTest;testObjectViewBaseFieldValue;1;5;0;0;0/1;0;1
alibaba/arthas;TokenUtilsTest;testFindFirstTextToken;0;11;0;0;1/9;0;0
alibaba/arthas;TokenUtilsTest;testFindLastTextToken;0;13;0;0;1/11;0;0
alibaba/arthas;TokenUtilsTest;testFindSecondTextToken;0;12;0;0;1/10;0;0
